label,continent,subtype,host,year,lowORhigh
EPI_ISL_131127,Asia,H7N7,ANSERIFORMES,2012.09.01,LPAI
EPI_ISL_4882548,Asia,H7N9,GALLIFORMES,2014.01.27,LPAI
EPI_ISL_4071549,Asia,H7N7,Environment,2019.12.07,LPAI
EPI_ISL_4071519,Asia,H7N7,Environment,2019.12.07,LPAI
EPI_ISL_4071511,Asia,H7N7,ANSERIFORMES,2019.12.09,LPAI
EPI_ISL_65671,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_65670,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_336036,Asia,H7N9,GALLIFORMES,2016.05.16,LPAI
EPI_ISL_8355,NorthAmerica,H7N3,ANSERIFORMES,2001.6.30,LPAI
EPI_ISL_155815,Asia,H7N9,GALLIFORMES,2014.01.27,LPAI
EPI_ISL_24810,NorthAmerica,H7N3,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_24811,NorthAmerica,H7N3,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_24812,NorthAmerica,H7N3,GALLIFORMES,2007.6.30,LPAI
EPI_ISL_4071628,Asia,H7N7,Environment,2019.12.07,LPAI
EPI_ISL_4071719,Asia,H7N3,ANSERIFORMES,2019.12.07,LPAI
EPI_ISL_803116,Asia,H7N6,ANSERIFORMES,2019.02.07,LPAI
EPI_ISL_4071806,Asia,H7N2,ANSERIFORMES,2019.12.08,LPAI
EPI_ISL_366,Asia,H7N7,ANSERIFORMES,2002.6.30,LPAI
EPI_ISL_368,Asia,H7N7,ANSERIFORMES,2002.6.30,LPAI
EPI_ISL_377,Asia,H7N1,ANSERIFORMES,2001.6.30,LPAI
EPI_ISL_328157,Asia,H7N3,ANSERIFORMES,2017.09.01,LPAI
EPI_ISL_82475,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_295522,Asia,H7N3,ANSERIFORMES,2017.01.12,LPAI
EPI_ISL_295523,Asia,H7N3,ANSERIFORMES,2017.01.12,LPAI
EPI_ISL_131725,NorthAmerica,H7N3,ANSERIFORMES,2007.09.17,LPAI
EPI_ISL_131740,NorthAmerica,H7N4,ANSERIFORMES,2007.08.21,LPAI
EPI_ISL_328360,NorthAmerica,H7N3,ANSERIFORMES,2017.08.12,LPAI
EPI_ISL_17982441,Asia,H7N3,GALLIFORMES,2023.04.18,unknown
EPI_ISL_131880,NorthAmerica,H7N3,ANSERIFORMES,2007.08.16,LPAI
EPI_ISL_131881,NorthAmerica,H7N3,ANSERIFORMES,2007.09.17,LPAI
EPI_ISL_156471,Asia,H7N9,human,2014.02.12,LPAI
EPI_ISL_131904,NorthAmerica,H7N6,ANSERIFORMES,2009.02.05,LPAI
EPI_ISL_213839,Europe,H7N7,ANSERIFORMES,2012.09.12,LPAI
EPI_ISL_213838,Europe,H7N1,ANSERIFORMES,2009.03.25,LPAI
EPI_ISL_213840,Europe,H7N7,ANSERIFORMES,2012.11.06,LPAI
EPI_ISL_148370,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_148369,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_25495,Asia,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_25497,Asia,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_99295,NorthAmerica,H7N3,ANSERIFORMES,2006.08.09,LPAI
EPI_ISL_173033,Asia,H7N9,human,2015.02.22,LPAI
EPI_ISL_99345,NorthAmerica,H7N3,ANSERIFORMES,2001.07.26,LPAI
EPI_ISL_140356,Asia,H7N9,human,2013.04.24,LPAI
EPI_ISL_189655,NorthAmerica,H7N3,ANSERIFORMES,2010.08.12,LPAI
EPI_ISL_189658,NorthAmerica,H7N8,ANSERIFORMES,2010.08.14,LPAI
EPI_ISL_124263,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124265,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124264,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124266,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124268,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124271,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124270,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124272,Asia,H7N4,ANSERIFORMES,2010.12.22,LPAI
EPI_ISL_124275,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124274,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124276,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124279,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124281,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124280,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124283,Asia,H7N4,ANSERIFORMES,2010.12.22,LPAI
EPI_ISL_124282,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124284,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124287,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124286,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124289,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124291,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124290,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124293,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124292,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_26002,Europe,H7N7,GALLIFORMES,2008.6.30,HPAI
EPI_ISL_14886524,Asia,H7N7,ANSERIFORMES,2021.12.18,LPAI
EPI_ISL_157487,Asia,H7N9,human,2013.11.30,LPAI
EPI_ISL_19293715,Europe,H7N7,GALLIFORMES,2008.6.30,HPAI
EPI_ISL_26430,Asia,H7N1,ANSERIFORMES,2002.6.30,LPAI
EPI_ISL_108412,Europe,H7N1,ANSERIFORMES,2006.6.30,LPAI
EPI_ISL_18347,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_165811,Asia,H7N9,Environment,2010.09.23,LPAI
EPI_ISL_165812,Asia,H7N9,Environment,2012.03.14,LPAI
EPI_ISL_157702,Asia,H7N9,human,2014.03.01,LPAI
EPI_ISL_67718,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_2188,NorthAmerica,H7,GALLIFORMES,2000.6.30,LPAI
EPI_ISL_76065,Asia,H7N3,GALLIFORMES,2003.11.15,HPAI
EPI_ISL_76067,Asia,H7N3,GALLIFORMES,2004.04.24,HPAI
EPI_ISL_76066,Asia,H7N3,GALLIFORMES,2003.12.28,HPAI
EPI_ISL_76068,Asia,H7N3,GALLIFORMES,2004.05.12,HPAI
EPI_ISL_280894,Asia,H7N9,human,2017.02.03,HPAI
EPI_ISL_149858,Asia,H7N1,ANSERIFORMES,2010.07.24,LPAI
EPI_ISL_149862,Asia,H7N1,ANSERIFORMES,2010.07.24,LPAI
EPI_ISL_149869,Asia,H7N1,ANSERIFORMES,2010.06.19,LPAI
EPI_ISL_239994,Asia,H7N9,human,2016.12.19,LPAI
EPI_ISL_149895,Asia,H7N1,ANSERIFORMES,2009.08.06,LPAI
EPI_ISL_166324,Asia,H7N9,human,2013.12.27,LPAI
EPI_ISL_18900,Europe,H7N3,GALLIFORMES,2007.6.30,LPAI
EPI_ISL_18901,Europe,H7,GALLIFORMES,2007.6.30,LPAI
EPI_ISL_215534,Asia,H7N9,human,2014.04.24,LPAI
EPI_ISL_379428,SouthAmerica,H7N6,ANSERIFORMES,2017.05.09,LPAI
EPI_ISL_379427,SouthAmerica,H7N6,ANSERIFORMES,2017.05.09,LPAI
EPI_ISL_256599,Asia,H7N9,human,2017.01.05,LPAI
EPI_ISL_9251569,Europe,H7N8,ANSERIFORMES,2021.06.27,LPAI
EPI_ISL_215688,Asia,H7N9,human,2016.03.24,LPAI
EPI_ISL_2789,Europe,H7N7,GALLIFORMES,2003.6.30,HPAI
EPI_ISL_2816,Europe,H7N7,GALLIFORMES,2001.6.30,LPAI
EPI_ISL_502602,Europe,H7N7,ANSERIFORMES,2016.11.30,LPAI
EPI_ISL_502611,Europe,H7N3,ANSERIFORMES,2019.01.21,LPAI
EPI_ISL_502610,Europe,H7N5,ANSERIFORMES,2017.01.13,LPAI
EPI_ISL_2914,Europe,H7,ANSERIFORMES,2003.6.30,LPAI
EPI_ISL_93033,Asia,H7N3,GALLIFORMES,2004.04.14,HPAI
EPI_ISL_142187,Asia,H7N9,human,2013.04.22,LPAI
EPI_ISL_93032,Asia,H7N3,GALLIFORMES,2004.04.14,HPAI
EPI_ISL_93035,Asia,H7N3,GALLIFORMES,2004.12.07,LPAI
EPI_ISL_93034,Asia,H7N3,GALLIFORMES,2004.05.25,HPAI
EPI_ISL_93036,Asia,H7N3,GALLIFORMES,2005.05.30,HPAI
EPI_ISL_142188,Asia,H7N9,human,2013.04.22,LPAI
EPI_ISL_387965,Africa,H7N3,ANSERIFORMES,2016.03.17,LPAI
EPI_ISL_387964,Africa,H7N3,ANSERIFORMES,2016.03.17,LPAI
EPI_ISL_387973,Africa,H7N3,ANSERIFORMES,2016.03.17,LPAI
EPI_ISL_387972,Africa,H7N3,ANSERIFORMES,2016.03.17,LPAI
EPI_ISL_387969,Africa,H7N3,ANSERIFORMES,2015.01.27,LPAI
EPI_ISL_387968,Africa,H7N3,ANSERIFORMES,2016.01.28,LPAI
EPI_ISL_387971,Africa,H7N9,ANSERIFORMES,2016.02.11,LPAI
EPI_ISL_387970,Africa,H7N3,ANSERIFORMES,2016.03.17,LPAI
EPI_ISL_240520,Asia,H7N9,human,2016.12.28,LPAI
EPI_ISL_387994,Asia,H7N6,ANSERIFORMES,2018.12.08,LPAI
EPI_ISL_379813,SouthAmerica,H7N6,GALLIFORMES,2017.6.30,LPAI
EPI_ISL_379815,SouthAmerica,H7N6,GALLIFORMES,2017.6.30,LPAI
EPI_ISL_125859,Asia,H7N9,ANSERIFORMES,2008.4.15,LPAI
EPI_ISL_379814,SouthAmerica,H7N6,GALLIFORMES,2017.6.30,LPAI
EPI_ISL_18868901,Asia,H7N3,human,2024.01.08,LPAI
EPI_ISL_248778,Asia,H7N9,human,2017.02.03,HPAI
EPI_ISL_224262,Europe,H7N7,GALLIFORMES,2003.6.30,HPAI
EPI_ISL_224261,Europe,H7N7,GALLIFORMES,2001.6.30,LPAI
EPI_ISL_224260,Europe,H7N7,GALLIFORMES,2013.6.30,LPAI
EPI_ISL_257050,Asia,H7N1,ANSERIFORMES,2015.02.22,LPAI
EPI_ISL_257049,Asia,H7N1,ANSERIFORMES,2015.02.22,LPAI
EPI_ISL_257048,Asia,H7N9,ANSERIFORMES,2015.12.10,LPAI
EPI_ISL_257071,Asia,H7N1,ANSERIFORMES,2015.02.22,LPAI
EPI_ISL_257087,Asia,H7N5,other,2015.02.22,LPAI
EPI_ISL_257090,Asia,H7N9,ANSERIFORMES,2015.12.10,LPAI
EPI_ISL_257095,Asia,H7N1,ANSERIFORMES,2015.02.22,LPAI
EPI_ISL_19180877,Asia,H7N7,other,2024.01.21,LPAI
EPI_ISL_19180879,Asia,H7N4,other,2024.01.22,LPAI
EPI_ISL_19180884,Asia,H7,other,2024.01.23,LPAI
EPI_ISL_19180880,Asia,H7N5,other,2024.01.22,LPAI
EPI_ISL_19180881,Asia,H7N7,other,2024.01.22,LPAI
EPI_ISL_19180882,Asia,H7N7,other,2024.01.22,LPAI
EPI_ISL_191604,Europe,H7N7,GALLIFORMES,2015.07.09,HPAI
EPI_ISL_19180883,Asia,H7N7,other,2024.01.22,LPAI
EPI_ISL_19180889,Asia,H7N7,Environment,2024.02.02,LPAI
EPI_ISL_109745,Europe,H7N7,ANSERIFORMES,2010.6.30,LPAI
EPI_ISL_240829,Asia,H7N9,human,2017.01.05,LPAI
EPI_ISL_11489,Europe,H7N3,GALLIFORMES,2006.04.29,LPAI
EPI_ISL_11490,Europe,H7N3,GALLIFORMES,2006.04.28,LPAI
EPI_ISL_11504,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_16215548,NorthAmerica,H7N3,ANSERIFORMES,2021.08.26,LPAI
EPI_ISL_191763,Europe,H7N7,GALLIFORMES,2015.06.09,LPAI
EPI_ISL_191764,Europe,H7N7,GALLIFORMES,2015.06.09,LPAI
EPI_ISL_18983998,Asia,H7N7,other,2023.01.20,LPAI
EPI_ISL_3514,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_3515,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_3516,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_3517,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_3518,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_3519,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_191942,Europe,H7N7,GALLIFORMES,2015.07.25,HPAI
EPI_ISL_191941,Europe,H7N7,GALLIFORMES,2015.07.25,HPAI
EPI_ISL_224763,SouthAmerica,H7N6,ANSERIFORMES,2013.11.13,LPAI
EPI_ISL_19279630,Asia,H7N7,Environment,2023.12.22,LPAI
EPI_ISL_19279628,Asia,H7N7,Environment,2023.12.22,LPAI
EPI_ISL_19279629,Asia,H7N7,Environment,2023.12.22,LPAI
EPI_ISL_503349,Asia,H7N7,ANSERIFORMES,2019.09.12,LPAI
EPI_ISL_503344,Asia,H7N7,ANSERIFORMES,2019.09.12,LPAI
EPI_ISL_331347,Asia,H7N2,ANSERIFORMES,2016.05.11,HPAI
EPI_ISL_331346,Asia,H7N1,ANSERIFORMES,2016.05.11,HPAI
EPI_ISL_224878,SouthAmerica,H7N3,other,2014.04.26,LPAI
EPI_ISL_224877,SouthAmerica,H7N3,other,2014.04.24,LPAI
EPI_ISL_224876,SouthAmerica,H7N3,other,2014.04.17,LPAI
EPI_ISL_224986,SouthAmerica,H7N6,ANSERIFORMES,2013.11.13,LPAI
EPI_ISL_503516,Asia,H7N1,ANSERIFORMES,2019.01.15,LPAI
EPI_ISL_224991,SouthAmerica,H7N3,ANSERIFORMES,2014.04.17,LPAI
EPI_ISL_224990,SouthAmerica,H7N6,ANSERIFORMES,2013.11.13,LPAI
EPI_ISL_503524,Asia,H7N3,ANSERIFORMES,2019.01.17,LPAI
EPI_ISL_224992,SouthAmerica,H7N3,ANSERIFORMES,2014.04.24,LPAI
EPI_ISL_134886,Asia,H7N1,GALLIFORMES,2009.9.15,unknown
EPI_ISL_134887,Asia,H7N1,GALLIFORMES,2010.4.15,unknown
EPI_ISL_134885,Asia,H7N1,GALLIFORMES,2009.12.15,LPAI
EPI_ISL_225006,SouthAmerica,H7N3,ANSERIFORMES,2014.04.26,LPAI
EPI_ISL_159478,Asia,H7N9,human,2014.04.13,LPAI
EPI_ISL_159477,Asia,H7N9,human,2014.04.03,LPAI
EPI_ISL_3838,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_364317,Asia,H7N9,human,2015.01.10,LPAI
EPI_ISL_16215994,NorthAmerica,H7N3,ANSERIFORMES,2022.08.23,LPAI
EPI_ISL_151417,Asia,H7N9,human,2013.11.30,LPAI
EPI_ISL_6795223,Asia,H7N7,ANSERIFORMES,2019.05.08,LPAI
EPI_ISL_6795225,Asia,H7N7,ANSERIFORMES,2019.05.08,LPAI
EPI_ISL_503769,Europe,H7N3,ANSERIFORMES,2019.01.22,unknown
EPI_ISL_503790,Europe,H7N5,ANSERIFORMES,2017.01.13,unknown
EPI_ISL_12303,Europe,H7N3,GALLIFORMES,2006.04.28,LPAI
EPI_ISL_12304,NorthAmerica,H7,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_86043,Europe,H7N7,GALLIFORMES,2010.6.30,LPAI
EPI_ISL_86042,Europe,H7N7,GALLIFORMES,2009.6.30,LPAI
EPI_ISL_4134,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_28835,Asia,H7N9,ANSERIFORMES,2008.6.30,LPAI
EPI_ISL_18059681,Asia,H7N3,GALLIFORMES,2020.12.19,unknown
EPI_ISL_151743,Europe,H7N7,GALLIFORMES,2011.5.15,LPAI
EPI_ISL_151746,Europe,H7N7,ANSERIFORMES,2006.1.15,LPAI
EPI_ISL_151744,Europe,H7N7,ANSERIFORMES,2006.3.15,LPAI
EPI_ISL_151745,Europe,H7N4,ANSERIFORMES,2006.3.15,LPAI
EPI_ISL_16216120,Asia,H7N3,GALLIFORMES,2020.12.19,LPAI
EPI_ISL_143734,Asia,H7N9,ANSERIFORMES,2008.6.30,LPAI
EPI_ISL_70017,Europe,H7N7,other,2005.6.30,LPAI
EPI_ISL_143744,Asia,H7N9,ANSERIFORMES,2008.08.29,LPAI
EPI_ISL_143745,Asia,H7N9,ANSERIFORMES,2010.6.30,LPAI
EPI_ISL_4516,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_4524,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_4527,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_4528,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_4529,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_4530,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_12738,Europe,H7N2,GALLIFORMES,2007.05.18,LPAI
EPI_ISL_168390,NorthAmerica,H7N3,GALLIFORMES,2004.2.15,LPAI
EPI_ISL_86475,Europe,H7N7,GALLIFORMES,2003.04.20,HPAI
EPI_ISL_86474,Europe,H7N7,GALLIFORMES,2003.04.15,HPAI
EPI_ISL_86477,Europe,H7N7,GALLIFORMES,2003.04.22,HPAI
EPI_ISL_86476,Europe,H7N7,GALLIFORMES,2003.04.20,HPAI
EPI_ISL_86479,Europe,H7N7,GALLIFORMES,2003.04.24,HPAI
EPI_ISL_86478,Europe,H7N7,GALLIFORMES,2003.04.23,HPAI
EPI_ISL_86480,Europe,H7N7,GALLIFORMES,2003.04.24,HPAI
EPI_ISL_381405,NorthAmerica,H7N3,ANSERIFORMES,2017.08.13,LPAI
EPI_ISL_160290,Asia,H7N9,human,2014.04.08,LPAI
EPI_ISL_168506,NorthAmerica,H7N3,GALLIFORMES,2004.10.14,LPAI
EPI_ISL_242275,Asia,H7N9,human,2017.01.09,LPAI
EPI_ISL_160435,Asia,H7N9,human,2014.04.21,LPAI
EPI_ISL_266964,Europe,H7N9,human,2017.06.19,LPAI
EPI_ISL_29437,Africa,H7N7,ANSERIFORMES,2006.6.30,unknown
EPI_ISL_29440,Africa,H7N7,ANSERIFORMES,2004.6.30,LPAI
EPI_ISL_381783,SouthAmerica,H7N6,GALLIFORMES,2017.01.18,LPAI
EPI_ISL_381789,SouthAmerica,H7N6,GALLIFORMES,2017.01.02,LPAI
EPI_ISL_217947,Asia,H7N9,human,2016.04.19,LPAI
EPI_ISL_381788,SouthAmerica,H7N6,GALLIFORMES,2017.01.02,LPAI
EPI_ISL_381790,SouthAmerica,H7N6,GALLIFORMES,2017.01.03,LPAI
EPI_ISL_381785,SouthAmerica,H7N6,GALLIFORMES,2017.01.18,LPAI
EPI_ISL_381787,SouthAmerica,H7N6,GALLIFORMES,2017.01.02,LPAI
EPI_ISL_127948,NorthAmerica,H7N6,ANSERIFORMES,2009.05.02,LPAI
EPI_ISL_29701,NorthAmerica,H7N3,ANSERIFORMES,2006.08.09,LPAI
EPI_ISL_259269,Asia,H7N9,human,2017.01.05,LPAI
EPI_ISL_160999,Asia,H7N3,ANSERIFORMES,2009.07.29,LPAI
EPI_ISL_161003,Asia,H7N3,ANSERIFORMES,2009.09.15,LPAI
EPI_ISL_161001,Asia,H7N7,ANSERIFORMES,2010.07.10,LPAI
EPI_ISL_103694,Europe,H7N1,ANSERIFORMES,2004.6.30,LPAI
EPI_ISL_103697,Europe,H7N7,GALLIFORMES,2001.02.01,LPAI
EPI_ISL_120185,Africa,H7N1,other,2004.01.27,LPAI
EPI_ISL_120188,Africa,H7N7,other,2004.02.18,LPAI
EPI_ISL_120190,Africa,H7N7,other,2004.12.22,LPAI
EPI_ISL_120195,Africa,H7N1,other,2006.12.22,LPAI
EPI_ISL_120199,Africa,H7N7,other,2006.04.07,LPAI
EPI_ISL_120201,Africa,H7N9,other,2007.01.05,LPAI
EPI_ISL_120202,Africa,H7N3,other,2007.01.05,LPAI
EPI_ISL_120206,Africa,H7N3,other,2006.12.29,LPAI
EPI_ISL_169442,Asia,H7N9,human,2014.12.25,LPAI
EPI_ISL_5799,NorthAmerica,H7N1,ANSERIFORMES,2001.07.27,LPAI
EPI_ISL_19519485,Europe,H7N5,GALLIFORMES,2024.06.29,HPAI
EPI_ISL_19519484,Europe,H7N5,GALLIFORMES,2024.06.29,HPAI
EPI_ISL_19519487,Europe,H7N5,GALLIFORMES,2024.06.29,HPAI
EPI_ISL_19519486,Europe,H7N5,GALLIFORMES,2024.06.29,HPAI
EPI_ISL_5873,NorthAmerica,H7N3,human,2004.05.11,LPAI
EPI_ISL_19109841,Asia,H7N7,ANSERIFORMES,2019.05.08,LPAI
EPI_ISL_5876,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_153338,Asia,H7N9,human,2014.01.07,LPAI
EPI_ISL_14768098,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_694043,Asia,H7N9,human,2016.02.12,LPAI
EPI_ISL_399468,Europe,H7N7,ANSERIFORMES,2012.11.16,LPAI
EPI_ISL_399469,Europe,H7N7,ANSERIFORMES,2012.12.17,LPAI
EPI_ISL_333972,Asia,H7N9,human,2016.12.28,LPAI
