label,continent,subtype,host,year,lowORhigh
EPI_ISL_333971,Asia,H7N9,human,2016.12.19,LPAI
EPI_ISL_235720,NorthAmerica,H7N9,ANSERIFORMES,2004.08.13,LPAI
EPI_ISL_391385,Africa,H7N7,other,2009.01.20,unknown
EPI_ISL_391384,Africa,H7N7,other,2009.01.20,unknown
EPI_ISL_19519493,Europe,H7N5,GALLIFORMES,2024.06.29,LPAI
EPI_ISL_63799,Europe,H7N1,ANSERIFORMES,2009.03.21,LPAI
EPI_ISL_121187,Asia,H7N7,Environment,2007.8.15,LPAI
EPI_ISL_399735,Asia,H7N3,ANSERIFORMES,2015.08.13,LPAI
EPI_ISL_399742,Asia,H7N4,ANSERIFORMES,2018.03.22,LPAI
EPI_ISL_399743,Asia,H7N4,ANSERIFORMES,2018.02.24,LPAI
EPI_ISL_399740,Asia,H7N4,ANSERIFORMES,2018.03.22,unknown
EPI_ISL_399738,Asia,H7N4,ANSERIFORMES,2018.03.22,LPAI
EPI_ISL_399739,Asia,H7,ANSERIFORMES,2015.10.10,LPAI
EPI_ISL_399736,Asia,H7,ANSERIFORMES,2018.04.05,unknown
EPI_ISL_399737,Asia,H7N5,ANSERIFORMES,2018.04.05,LPAI
EPI_ISL_399751,Asia,H7N7,GALLIFORMES,2015.06.09,LPAI
EPI_ISL_399744,Asia,H7N7,ANSERIFORMES,2017.09.17,LPAI
EPI_ISL_399745,Asia,H7N7,ANSERIFORMES,2017.09.17,LPAI
EPI_ISL_23024,Asia,H7N6,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_137737,NorthAmerica,H7N7,ANSERIFORMES,2010.08.08,LPAI
EPI_ISL_137745,NorthAmerica,H7N7,ANSERIFORMES,2010.08.09,LPAI
EPI_ISL_96842,NorthAmerica,H7N3,ANSERIFORMES,2006.6.30,unknown
EPI_ISL_31505,Asia,H7N3,GALLIFORMES,2003.6.30,HPAI
EPI_ISL_31507,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31508,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31510,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31511,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31512,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31513,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31514,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31515,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_31516,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_19167903,SouthAmerica,H7N9,ANSERIFORMES,2018.02.05,LPAI
EPI_ISL_154553,Asia,H7N9,human,2014.01.28,LPAI
EPI_ISL_170981,Asia,H7N9,human,2015.01.23,LPAI
EPI_ISL_146472,Europe,H7N7,GALLIFORMES,2013.04.11,LPAI
EPI_ISL_14392497,Europe,H7N7,ANSERIFORMES,2021.12.08,LPAI
EPI_ISL_326964,SouthAmerica,H7N3,ANSERIFORMES,2016.08.16,LPAI
EPI_ISL_64821,NorthAmerica,H7N3,GALLIFORMES,2005.6.30,LPAI
EPI_ISL_64822,NorthAmerica,H7N3,GALLIFORMES,2005.6.30,LPAI
EPI_ISL_171342,NorthAmerica,H7N9,human,2015.01.16,LPAI
EPI_ISL_105894,Europe,H7N7,GALLIFORMES,2011.6.30,unknown
EPI_ISL_212447,Europe,H7N7,GALLIFORMES,2008.06.04,HPAI
EPI_ISL_212451,Europe,H7N7,GALLIFORMES,2008.06.04,HPAI
EPI_ISL_212450,Europe,H7N7,GALLIFORMES,2008.06.04,HPAI
EPI_ISL_212449,Europe,H7N7,GALLIFORMES,2008.06.04,HPAI
EPI_ISL_212448,Europe,H7N7,GALLIFORMES,2008.06.04,HPAI
EPI_ISL_212455,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212453,Europe,H7N7,GALLIFORMES,2008.06.05,HPAI
EPI_ISL_212452,Europe,H7N7,GALLIFORMES,2008.06.05,HPAI
EPI_ISL_212459,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212458,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212457,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212456,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212463,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212462,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212461,Europe,H7N7,GALLIFORMES,2008.06.02,HPAI
EPI_ISL_212460,Europe,H7N7,GALLIFORMES,2008.06.04,HPAI
EPI_ISL_19226401,Asia,H7N7,ANSERIFORMES,2016.12.02,LPAI
EPI_ISL_19226421,Asia,H7N3,ANSERIFORMES,2005.11.06,LPAI
EPI_ISL_19226417,Asia,H7N6,ANSERIFORMES,2016.03.06,LPAI
EPI_ISL_19226416,Asia,H7N7,ANSERIFORMES,2016.04.04,LPAI
EPI_ISL_19226425,Asia,H7N9,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_19226424,Asia,H7N9,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_19226427,Asia,H7N5,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_19226426,Asia,H7N9,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_19226396,Asia,H7N7,ANSERIFORMES,2016.11.13,LPAI
EPI_ISL_19226436,Asia,H7N9,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_19226438,Asia,H7N7,ANSERIFORMES,2018.12.01,LPAI
EPI_ISL_65192,NorthAmerica,H7,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_65193,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_65198,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_65199,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_253626,Asia,H7N9,human,2017.03.06,LPAI
EPI_ISL_171721,Europe,H7N7,GALLIFORMES,2015.01.30,LPAI
EPI_ISL_327464,Asia,H7N3,ANSERIFORMES,2017.9.15,LPAI
EPI_ISL_327473,Asia,H7N3,ANSERIFORMES,2017.9.15,LPAI
EPI_ISL_327474,Asia,H7N3,ANSERIFORMES,2017.9.15,LPAI
EPI_ISL_19226276,Asia,H7N7,ANSERIFORMES,2019.02.02,LPAI
EPI_ISL_19226273,Asia,H7N1,ANSERIFORMES,2018.12.18,LPAI
EPI_ISL_19226272,Asia,H7N7,ANSERIFORMES,2018.12.18,LPAI
EPI_ISL_19226274,Asia,H7N7,ANSERIFORMES,2018.12.29,unknown
EPI_ISL_19226292,Asia,H7N1,ANSERIFORMES,2019.02.02,LPAI
EPI_ISL_19226295,Asia,H7N3,ANSERIFORMES,2005.01.14,LPAI
EPI_ISL_19226299,Asia,H7N7,ANSERIFORMES,2017.01.24,LPAI
EPI_ISL_19226246,Asia,H7N7,ANSERIFORMES,2020.12.17,LPAI
EPI_ISL_19226241,Asia,H7N3,ANSERIFORMES,2005.03.22,LPAI
EPI_ISL_19226240,Asia,H7N3,ANSERIFORMES,2005.03.18,LPAI
EPI_ISL_19226242,Asia,H7N3,ANSERIFORMES,2005.01.01,LPAI
EPI_ISL_19226255,Asia,H7N7,ANSERIFORMES,2018.12.29,LPAI
EPI_ISL_19226261,Asia,H7N1,ANSERIFORMES,2019.02.02,LPAI
EPI_ISL_19226260,Asia,H7N7,ANSERIFORMES,2018.12.29,LPAI
EPI_ISL_19226262,Asia,H7N3,ANSERIFORMES,2018.11.17,LPAI
EPI_ISL_19226259,Asia,H7N3,ANSERIFORMES,2018.12.18,LPAI
EPI_ISL_19226258,Asia,H7N7,ANSERIFORMES,2018.12.18,LPAI
EPI_ISL_19226271,Asia,H7N1,ANSERIFORMES,2018.12.18,unknown
EPI_ISL_19226270,Asia,H7N1,ANSERIFORMES,2018.12.18,LPAI
EPI_ISL_19226266,Asia,H7N3,ANSERIFORMES,2005.11.24,LPAI
EPI_ISL_19226341,Asia,H7N1,ANSERIFORMES,2020.01.01,LPAI
EPI_ISL_327630,SouthAmerica,H7N6,ANSERIFORMES,2016.03.11,LPAI
EPI_ISL_327631,SouthAmerica,H7N6,ANSERIFORMES,2017.06.07,LPAI
EPI_ISL_253902,NorthAmerica,H7N3,ANSERIFORMES,2015.08.13,LPAI
EPI_ISL_19226357,Asia,H7N7,ANSERIFORMES,2019.01.27,LPAI
EPI_ISL_19226367,Asia,H7N9,ANSERIFORMES,2015.02.01,LPAI
EPI_ISL_19226306,Asia,H7N9,ANSERIFORMES,2014.11.28,LPAI
EPI_ISL_19226316,Asia,H7N7,ANSERIFORMES,2017.01.07,LPAI
EPI_ISL_19226314,Asia,H7N7,ANSERIFORMES,2016.11.14,LPAI
EPI_ISL_19226327,Asia,H7N3,ANSERIFORMES,2018.11.17,LPAI
EPI_ISL_19226328,Asia,H7N7,ANSERIFORMES,2018.12.01,LPAI
AY611524,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,unknown
DQ017504,NorthAmerica,H7N3,ANSERIFORMES,2001.6.30,unknown
EPI_ISL_365,Asia,H7N7,ANSERIFORMES,2003.6.30,LPAI
EPI_ISL_367,Asia,H7N7,ANSERIFORMES,2003.6.30,LPAI
EPI_ISL_369,Asia,H7N7,ANSERIFORMES,2003.6.30,LPAI
EPI_ISL_380,Asia,H7N1,ANSERIFORMES,2003.6.30,LPAI
EPI_ISL_370662,Asia,H7N1,ANSERIFORMES,2003.10.17,LPAI
EPI_ISL_310,Asia,H7N7,ANSERIFORMES,2004.6.30,LPAI
EPI_ISL_370,Asia,H7N7,ANSERIFORMES,2004.6.30,LPAI
EPI_ISL_371,Asia,H7N7,ANSERIFORMES,2004.6.30,LPAI
EPI_ISL_141040,Asia,H7N7,ANSERIFORMES,2004.12.01,LPAI
EPI_ISL_370667,Asia,H7N7,ANSERIFORMES,2004.10.24,LPAI
EPI_ISL_368627,Asia,H7N7,ANSERIFORMES,2004.10.07,LPAI
EPI_ISL_238024,Asia,H7N1,ANSERIFORMES,2005.6.30,LPAI
EPI_ISL_82495,Asia,H7N3,ANSERIFORMES,2006.6.30,LPAI
EPI_ISL_30669,Asia,H7N3,ANSERIFORMES,2006.6.30,LPAI
EPI_ISL_288010,Asia,H7N7,ANSERIFORMES,2007.01.01,LPAI
EPI_ISL_370664,Asia,H7N7,ANSERIFORMES,2007.08.26,LPAI
EPI_ISL_63110,Asia,H7N7,ANSERIFORMES,2008.6.30,LPAI
EPI_ISL_63112,Asia,H7N7,ANSERIFORMES,2008.6.30,LPAI
EPI_ISL_30785,Asia,H7N7,ANSERIFORMES,2008.6.30,LPAI
EPI_ISL_30786,Asia,H7N7,ANSERIFORMES,2008.6.30,unknown
EPI_ISL_82512,Asia,H7N7,ANSERIFORMES,2009.6.30,LPAI
EPI_ISL_75883,Asia,H7N6,GALLIFORMES,2009.2.15,LPAI
EPI_ISL_179434,Asia,H7N7,ANSERIFORMES,2010.09.28,LPAI
EPI_ISL_179440,Asia,H7N7,ANSERIFORMES,2010.10.08,LPAI
EPI_ISL_141016,Asia,H7N7,ANSERIFORMES,2011.6.30,LPAI
EPI_ISL_104859,Asia,H7N7,ANSERIFORMES,2011.10.13,LPAI
EPI_ISL_107023,Asia,H7N1,ANSERIFORMES,2012.03.03,LPAI
EPI_ISL_301012,Asia,H7N6,ANSERIFORMES,2012.6.30,LPAI
EPI_ISL_104861,Asia,H7N1,ANSERIFORMES,2012.01.25,LPAI
EPI_ISL_104862,Asia,H7N1,ANSERIFORMES,2012.01.25,LPAI
EPI_ISL_238026,Asia,H7N1,ANSERIFORMES,2013.02.26,LPAI
EPI_ISL_293515,Asia,H7N2,ANSERIFORMES,2013.10.02,LPAI
EPI_ISL_237149,Asia,H7N2,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_237152,Asia,H7N7,ANSERIFORMES,2014.11.15,LPAI
EPI_ISL_285845,Asia,H7N2,ANSERIFORMES,2015.6.30,LPAI
EPI_ISL_237178,Asia,H7N7,ANSERIFORMES,2015.2.15,LPAI
EPI_ISL_237978,Asia,H7N9,ANSERIFORMES,2016.01.01,LPAI
EPI_ISL_240610,Asia,H7N7,ANSERIFORMES,2016.12.14,LPAI
EPI_ISL_240614,Asia,H7N7,ANSERIFORMES,2016.12.14,LPAI
EPI_ISL_279396,Asia,H7N9,ANSERIFORMES,2017.06.23,HPAI
EPI_ISL_280892,Asia,H7N9,ANSERIFORMES,2017.01.01,HPAI
EPI_ISL_314829,Asia,H7N3,ANSERIFORMES,2018.03.01,HPAI
EPI_ISL_1634438,Asia,H7N9,other,2018.12.10,LPAI
EPI_ISL_503006,Asia,H7N7,ANSERIFORMES,2019.01.13,LPAI
EPI_ISL_14867044,Asia,H7N7,ANSERIFORMES,2020.6.30,LPAI
EPI_ISL_17655600,Asia,H7N7,Environment,2021.12.06,LPAI
EPI_ISL_17655603,Asia,H7N7,Environment,2021.12.06,LPAI
EPI_ISL_19159707,Asia,H7N7,ANSERIFORMES,2021.12.01,LPAI
EPI_ISL_18910108,Asia,H7N7,other,2024.01.15,LPAI
EPI_ISL_18910109,Asia,H7N7,other,2024.01.15,LPAI
EPI_ISL_85566,Asia,H7N2,other,2001.6.30,LPAI
EPI_ISL_70549,Asia,H7N2,other,2003.6.30,LPAI
EPI_ISL_70581,Asia,H7N2,other,2003.12.15,LPAI
EPI_ISL_70577,Asia,H7N2,other,2004.1.15,LPAI
EPI_ISL_70602,Asia,H7N7,other,2005.6.30,LPAI
EPI_ISL_128313,Asia,H7N8,ANSERIFORMES,2005.01.05,LPAI
EPI_ISL_128312,Asia,H7N8,other,2005.01.05,LPAI
EPI_ISL_234411,Asia,H7N7,Environment,2006.02.13,LPAI
EPI_ISL_234415,Asia,H7N7,Environment,2006.12.19,LPAI
EPI_ISL_234412,Asia,H7N7,Environment,2006.12.12,LPAI
EPI_ISL_234421,Asia,H7N4,Environment,2007.12.29,LPAI
EPI_ISL_234420,Asia,H7N6,ANSERIFORMES,2007.12.27,unknown
EPI_ISL_234424,Asia,H7N4,Environment,2007.12.29,LPAI
EPI_ISL_133001,Asia,H7N9,ANSERIFORMES,2008.12.15,LPAI
EPI_ISL_70573,Asia,H7N3,ANSERIFORMES,2008.1.15,LPAI
EPI_ISL_128306,Asia,H7N8,ANSERIFORMES,2008.02.02,LPAI
EPI_ISL_120865,Asia,H7N7,other,2009.11.15,LPAI
EPI_ISL_120867,Asia,H7N7,ANSERIFORMES,2009.12.15,LPAI
EPI_ISL_120872,Asia,H7N2,ANSERIFORMES,2009.9.15,LPAI
EPI_ISL_156970,Asia,H7N9,ANSERIFORMES,2010.12.15,LPAI
EPI_ISL_156969,Asia,H7N9,ANSERIFORMES,2010.12.15,LPAI
EPI_ISL_156975,Asia,H7N7,ANSERIFORMES,2010.3.15,LPAI
EPI_ISL_120874,Asia,H7N7,ANSERIFORMES,2011.1.15,LPAI
EPI_ISL_120881,Asia,H7N9,other,2011.2.15,LPAI
EPI_ISL_120882,Asia,H7N3,ANSERIFORMES,2011.1.15,LPAI
EPI_ISL_234423,Asia,H7N7,Environment,2012.12.31,LPAI
EPI_ISL_309230,Asia,H7N1,ANSERIFORMES,2012.12.02,LPAI
EPI_ISL_309231,Asia,H7N1,Environment,2012.12.18,LPAI
EPI_ISL_309232,Asia,H7N1,Environment,2013.02.04,LPAI
EPI_ISL_309233,Asia,H7N7,Environment,2013.02.04,LPAI
EPI_ISL_309235,Asia,H7N7,ANSERIFORMES,2013.12.11,LPAI
EPI_ISL_309236,Asia,H7N7,Environment,2014.02.07,LPAI
EPI_ISL_18690792,Asia,H7N7,other,2015.09.15,unknown
EPI_ISL_309237,Asia,H7N7,Environment,2015.01.21,LPAI
EPI_ISL_309238,Asia,H7N7,Environment,2015.03.02,LPAI
EPI_ISL_309209,Asia,H7N7,ANSERIFORMES,2016.12.28,LPAI
EPI_ISL_309211,Asia,H7N7,ANSERIFORMES,2016.12.20,LPAI
EPI_ISL_309213,Asia,H7N7,ANSERIFORMES,2017.01.17,LPAI
EPI_ISL_309214,Asia,H7N7,ANSERIFORMES,2017.01.24,LPAI
EPI_ISL_309215,Asia,H7N7,ANSERIFORMES,2017.01.24,LPAI
EPI_ISL_393520,Asia,H7N7,ANSERIFORMES,2018.12.31,LPAI
EPI_ISL_14161096,Asia,H7N5,other,2018.12.12,LPAI
EPI_ISL_706194,Asia,H7N3,ANSERIFORMES,2019.03.15,LPAI
EPI_ISL_18900489,Asia,H7N7,other,2019.12.04,LPAI
EPI_ISL_3663324,Asia,H7N8,other,2020.11.17,LPAI
EPI_ISL_3663323,Asia,H7N9,other,2020.11.03,LPAI
EPI_ISL_3663326,Asia,H7N9,other,2021.02.01,LPAI
EPI_ISL_3663325,Asia,H7N3,other,2021.01.11,LPAI
EPI_ISL_19207597,Asia,H7N2,ANSERIFORMES,2022.01.10,LPAI
EPI_ISL_19109828,Asia,H7N7,ANSERIFORMES,2022.01.17,LPAI
EPI_ISL_19366657,NorthAmerica,H7N3,GALLIFORMES,2019.6.30,HPAI
EPI_ISL_19366670,NorthAmerica,H7N3,GALLIFORMES,2018.6.30,HPAI
EPI_ISL_19366575,NorthAmerica,H7N3,GALLIFORMES,2023.6.30,HPAI
EPI_ISL_124203,NorthAmerica,H7N3,GALLIFORMES,2012.06.25,HPAI
EPI_ISL_124205,NorthAmerica,H7N3,GALLIFORMES,2012.06.13,HPAI
EPI_ISL_124204,NorthAmerica,H7N3,GALLIFORMES,2012.06.29,HPAI
EPI_ISL_304437,NorthAmerica,H7N3,other,2015.04.20,HPAI
EPI_ISL_19367013,NorthAmerica,H7N3,GALLIFORMES,2023.6.30,HPAI
EPI_ISL_304616,NorthAmerica,H7N3,other,2015.04.28,HPAI
EPI_ISL_304628,NorthAmerica,H7N3,other,2015.05.13,HPAI
EPI_ISL_304629,NorthAmerica,H7N3,other,2015.05.09,HPAI
EPI_ISL_370421,NorthAmerica,H7N3,GALLIFORMES,2015.03.09,HPAI
EPI_ISL_370420,NorthAmerica,H7N3,GALLIFORMES,2017.08.23,HPAI
EPI_ISL_370417,NorthAmerica,H7N3,GALLIFORMES,2017.08.15,HPAI
EPI_ISL_370419,NorthAmerica,H7N3,GALLIFORMES,2017.08.15,HPAI
EPI_ISL_370418,NorthAmerica,H7N3,GALLIFORMES,2017.07.04,HPAI
EPI_ISL_379226,NorthAmerica,H7N3,GALLIFORMES,2015.10.25,HPAI
EPI_ISL_379242,NorthAmerica,H7N3,GALLIFORMES,2015.08.14,HPAI
EPI_ISL_167711,NorthAmerica,H7N3,other,2014.02.18,LPAI
EPI_ISL_225531,NorthAmerica,H7N3,GALLIFORMES,2016.01.26,HPAI
EPI_ISL_225533,NorthAmerica,H7N3,GALLIFORMES,2016.02.16,HPAI
EPI_ISL_225577,NorthAmerica,H7N3,GALLIFORMES,2016.02.25,HPAI
EPI_ISL_225576,NorthAmerica,H7N3,GALLIFORMES,2016.02.23,HPAI
EPI_ISL_226058,NorthAmerica,H7N3,GALLIFORMES,2016.01.28,HPAI
EPI_ISL_226057,NorthAmerica,H7N3,GALLIFORMES,2016.02.05,HPAI
EPI_ISL_504968,NorthAmerica,H7N3,GALLIFORMES,2019.06.23,HPAI
EPI_ISL_128317,NorthAmerica,H7N3,human,2012.07.09,HPAI
EPI_ISL_129880,NorthAmerica,H7N3,GALLIFORMES,2012.06.22,HPAI
EPI_ISL_138239,NorthAmerica,H7N3,ANSERIFORMES,2006.2.15,LPAI
EPI_ISL_327178,NorthAmerica,H7N3,GALLIFORMES,2018.04.12,HPAI
EPI_ISL_327629,NorthAmerica,H7N3,GALLIFORMES,2016.03.23,HPAI
EPI_ISL_150019,Europe,H7N3,ANSERIFORMES,2000.12.04,LPAI
EPI_ISL_68417,Europe,H7N3,ANSERIFORMES,2000.6.30,LPAI
EPI_ISL_3548,Europe,H7N3,ANSERIFORMES,2000.6.30,LPAI
AY338460,Europe,H7N3,ANSERIFORMES,2000.12.4,unknown
EPI_ISL_391797,Europe,H7N3,GALLIFORMES,2002.12.15,HPAI
EPI_ISL_391796,Europe,H7N3,GALLIFORMES,2002.12.15,LPAI
EPI_ISL_391799,Europe,H7N3,GALLIFORMES,2002.12.15,LPAI
EPI_ISL_391795,Europe,H7N3,GALLIFORMES,2002.12.15,LPAI
EPI_ISL_82469,Europe,H7N7,GALLIFORMES,2003.04.25,HPAI
EPI_ISL_82468,Europe,H7N7,GALLIFORMES,2003.04.25,HPAI
EPI_ISL_82470,Europe,H7N7,GALLIFORMES,2003.03.26,HPAI
EPI_ISL_82472,Europe,H7N7,GALLIFORMES,2003.03.25,HPAI
EPI_ISL_82773,Europe,H7N7,GALLIFORMES,2003.04.03,unknown
EPI_ISL_82807,Europe,H7N7,GALLIFORMES,2003.04.03,unknown
EPI_ISL_82808,Europe,H7N7,GALLIFORMES,2003.04.03,unknown
EPI_ISL_84564,Europe,H7N7,ANSERIFORMES,2005.6.30,LPAI
EPI_ISL_64897,Europe,H7N7,ANSERIFORMES,2005.6.30,unknown
EPI_ISL_291179,Europe,H7N7,ANSERIFORMES,2006.02.16,LPAI
EPI_ISL_309797,Europe,H7N7,GALLIFORMES,2006.08.01,LPAI
EPI_ISL_33853,Europe,H7N1,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_378366,Europe,H7N7,ANSERIFORMES,2007.10.22,LPAI
EPI_ISL_329021,Europe,H7N1,ANSERIFORMES,2008.02.23,LPAI
EPI_ISL_329029,Europe,H7N1,ANSERIFORMES,2008.12.29,LPAI
EPI_ISL_329028,Europe,H7N1,ANSERIFORMES,2008.10.15,LPAI
EPI_ISL_329027,Europe,H7N7,ANSERIFORMES,2009.02.02,LPAI
EPI_ISL_329033,Europe,H7N7,ANSERIFORMES,2009.01.15,LPAI
EPI_ISL_243401,Europe,H7N1,ANSERIFORMES,2009.01.21,LPAI
EPI_ISL_329001,Europe,H7N3,ANSERIFORMES,2010.07.20,LPAI
EPI_ISL_257177,Europe,H7N4,GALLIFORMES,2010.05.16,LPAI
EPI_ISL_267189,Europe,H7N3,ANSERIFORMES,2010.07.08,LPAI
